Symbol, Revenues 2022, Revenues 2021, Revenues 2020, Revenues 2019,Emissions 2022,Emissions 2021,Emissions 2020,Emissions 2019,Total Esg,Environment Score,Social Score,Governance Score,Esg Performance
LLY,"$28,541,400,000","$28,318,400,000","$24,539,800,000","$22,319,500,000","75,178,048","74,590,666","64,637,833","58,789,563",32.4,3.43,17.4,11.56,Great
EMR,"$19,629,000,000","$18,236,000,000","$16,785,000,000","$18,372,000,000","11,208,159","10,412,756","9,584,235","10,490,412",29.47,10.13,12.34,7,Average
ENPH,"$2,330,853,000","$1,382,049,000","$774,425,000","$624,333,000","55,940","33,169","18,586","14,984",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ETR,"$13,764,237,000","$11,742,896,000","$10,113,636,000","$10,878,673,000","7,859,379","6,705,194","5,774,886","6,211,722",29.57,16.31,6.85,6.41,Average
EOG,"$29,610,000,000","$19,777,000,000","$9,934,000,000","$17,076,000,000","5,744,340","3,836,738","1,927,196","3,312,744",36.25,20.39,8.13,7.73,Great
EPAM,"$4,824,698,000","$3,758,144,000","$2,659,478,000","$2,293,798,000","149,566","116,502","82,444","71,108",No fundamentals data found for any of the summaryTypes=esgScores,,,,
EQT,"$11,996,159,000","$6,741,066,000","$2,612,253,000","$3,799,850,000","371,881","208,973","80,980","117,795",36.64,19.03,10.08,7.54,Great
EFX,"$5,122,200,000","$4,923,900,000","$4,127,500,000","$3,507,600,000","158,788","152,641","127,953","108,736",25.76,0.16,18.63,6.98,Average
EQIX,"$6,723,187,000","$6,260,026,000","$5,622,593,000","$5,159,222,000","605,087","563,402","506,033","464,330",11.79,2.63,3.51,5.65,Bad
EQR,"$2,735,180,000","$2,463,997,000","$2,571,705,000","$2,700,691,000","90,261","81,312","84,866","89,123",11.16,2.89,3.06,5.21,Bad
ESS,"$1,632,844,000","$1,552,277,000","$1,562,260,000","$1,583,791,000","31,024","29,493","29,683","30,092",12.33,3.5,2.69,6.13,Bad
EL,,"$17,737,000,000","$16,215,000,000","$14,294,000,000",0,"46,719,258","42,710,310","37,650,396",25.91,6.88,11.34,7.68,Average
ETSY,"$2,566,111,000","$2,329,114,000","$1,725,625,000","$818,379,000","6,759,136","6,134,886","4,545,296","2,155,610",No fundamentals data found for any of the summaryTypes=esgScores,,,,
EG,"$12,162,900,000","$11,830,300,000","$9,597,300,000","$8,236,629,000","32,037,079","31,161,010","25,279,288","21,695,281",No fundamentals data found for any of the summaryTypes=esgScores,,,,
EVRG,"$5,859,100,000","$5,586,700,000","$4,913,400,000","$5,147,800,000","193,350","184,361","162,142","169,877",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ES,"$12,289,336,000","$9,863,085,000","$8,904,430,000","$8,526,470,000","2,384,131","1,913,438","1,727,459","1,654,135",18.73,4.8,8.16,5.77,Bad
EXC,"$19,078,000,000","$17,938,000,000","$16,663,000,000","$34,438,000,000","591,418","556,078","516,553","1,067,578",24.39,8.83,8.97,6.59,Average
EXPE,"$11,667,000,000","$8,598,000,000","$5,199,000,000","$12,067,000,000","6,661,857","4,909,458","2,968,629","6,890,257",25.7,2.11,13.79,9.81,Average
EXPD,"$17,071,284,000","$16,523,517,000","$9,584,393,000","$7,942,417,000","409,711","396,564","230,025","190,618",15.82,3.83,7.35,4.64,Bad
EXR,"$1,965,598,000","$1,609,720,000","$1,378,573,000","$1,319,728,000","37,346","30,585","26,193","25,075",14.08,3.81,4.28,5.99,Bad
XOM,"$402,217,000,000","$278,981,000,000","$179,784,000,000","$259,497,000,000","9,653,208","6,695,544","4,314,816","6,227,928",36.47,18.55,9.82,8.1,Great
FFIV,"$2,695,845,000","$2,603,416,000","$2,350,822,000","$2,242,447,000","522,994","505,063","456,059","435,035",19.18,1.26,12.49,5.42,Bad
FDS,"$2,085,508,000","$1,843,892,000","$1,591,445,000","$1,494,111,000","64,651","57,161","49,335","46,317",20.44,2.94,10.88,6.61,Average
FICO,"$1,377,270,000","$1,316,536,000","$1,294,562,000","$1,160,083,000","267,190","255,408","251,145","225,056",No fundamentals data found for any of the summaryTypes=esgScores,,,,
FAST,"$6,980,600,000","$6,010,900,000","$5,647,300,000","$5,333,700,000","132,631","114,207","107,299","101,340",26.4,10.69,8.66,7.05,Average
FRT,"$1,079,548,000","$952,469,000","$827,432,000","$933,776,000","209,432","184,779","160,522","181,153",12.42,2.27,4.34,5.82,Bad
FDX,"$90,155,000,000","$93,512,000,000","$83,959,000,000","$69,217,000,000","237,468,270","246,310,608","221,148,006","182,317,578",20.45,5.29,9.32,5.84,Average
FITB,"$7,823,000,000","$8,297,000,000","$6,552,000,000","$7,893,000,000","187,752","199,128","157,248","189,432",17.44,1.41,8.68,7.36,Bad
FSLR,"$2,619,319,000","$2,923,377,000","$2,711,332,000","$3,063,117,000","62,864","70,161","65,072","73,515",No fundamentals data found for any of the summaryTypes=esgScores,,,,
FE,"$12,268,000,000","$10,943,000,000","$10,607,000,000","$10,844,000,000","294,432","262,632","254,568","260,256",29.51,12.96,9.72,6.84,Average
FIS,"$14,528,000,000","$13,877,000,000","$12,552,000,000","$10,333,000,000","13,336,704","12,739,086","11,522,736","9,485,694",18.08,1.27,11.14,5.68,Bad
FI,"$17,737,000,000","$16,226,000,000","$14,852,000,000","$10,187,000,000","585,321","535,458","490,116","336,171",No fundamentals data found for any of the summaryTypes=esgScores,,,,
FLT,"$3,427,129,000","$2,833,736,000","$2,388,855,000","$2,648,848,000","82,251","68,010","57,333","63,572",18.11,2.88,9.08,6.16,Bad
FMC,"$5,802,300,000","$5,045,200,000","$4,642,100,000","$4,609,800,000","1,125,646","978,769","900,567","894,301",32.74,16.18,9.09,7.47,Great
F,"$158,057,000,000","$136,341,000,000","$127,144,000,000","$155,900,000,000","1,422,513","1,227,069","1,144,296","1,403,100",29.95,9.27,11.34,9.35,Average
FTNT,"$4,417,400,000","$3,342,200,000","$2,594,400,000","$2,163,000,000","39,757","30,080","23,350","19,467",19.13,1.23,12.19,5.71,Bad
FTV,"$5,825,700,000","$5,254,700,000","$4,634,400,000","$4,563,900,000","110,688","99,839","88,054","86,714",34.76,16.09,13.97,4.7,Great
FOXA,"$14,913,000,000","$13,974,000,000","$12,909,000,000","$12,303,000,000","13,690,134","12,828,132","11,850,462","11,294,154",No fundamentals data found for any of the summaryTypes=esgScores,,,,
FOX,"$14,913,000,000","$13,974,000,000","$12,909,000,000","$12,303,000,000","492,129","461,142","425,997","405,999",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BEN,"$8,275,300,000","$8,425,500,000","$5,566,500,000","$5,669,400,000","198,607","202,212","133,596","136,066",18.18,1.12,9.88,7.18,Bad
FCX,"$22,780,000,000","$22,845,000,000","$14,198,000,000","$14,402,000,000","159,460","159,915","99,386","100,814",31.94,16.56,10.15,5.22,Great
GRMN,"$4,860,286,000","$4,982,795,000","$4,186,573,000","$3,757,505,000","116,647","119,587","100,478","90,180",18.54,5.4,7.86,5.28,Bad
IT,"$5,475,846,000","$4,733,962,000","$4,099,403,000","$4,245,321,000","1,062,314","918,389","795,284","823,592",21.78,0.13,15.44,6.2,Average
GEHC,"$18,341,000,000","$17,585,000,000","$17,164,000,000","$16,633,000,000","3,558,154","3,411,490","3,329,816","3,226,802",No fundamentals data found for any of the summaryTypes=esgScores,,,,
GEN,,"$2,796,000,000","$2,551,000,000","$2,490,000,000",0,"542,424","494,894","483,060",14.98,0.7,9.47,4.81,Bad
GNRC,"$4,564,737,000","$3,737,184,000","$2,485,200,000","$2,204,336,000","410,826","336,347","223,668","198,390",No fundamentals data found for any of the summaryTypes=esgScores,,,,
GD,#ERROR!,,,,#ERROR!,0,0,0,34.88,8.48,19.52,6.87,Great
GE,"$76,555,000,000","$74,196,000,000","$75,833,000,000","$90,221,000,000","2,526,315","2,448,468","2,502,489","2,977,293",40.71,14.09,15.04,11.58,Leader
GIS,"$20,094,200,000","$18,992,800,000","$18,127,000,000","$17,626,600,000","140,659","132,950","126,889","123,386",21.51,8.45,8.94,4.13,Average
GM,"$156,735,000,000","$127,004,000,000","$122,485,000,000","$137,237,000,000","2,977,965","2,413,076","2,327,215","2,607,503",30.89,10.28,12.92,7.69,Great
GPC,"$22,095,973,000","$18,870,510,000","$16,537,433,000","$17,522,234,000","530,303","452,892","396,898","420,534",12.62,3.62,5.23,3.78,Bad
GILD,"$27,281,000,000","$27,305,000,000","$24,689,000,000","$22,449,000,000","518,339","518,795","469,091","426,531",22.08,0.03,14.04,8.01,Average
GL,"$5,214,906,000","$5,112,869,000","$4,737,921,000","$4,527,532,000","2,977,711","2,919,448","2,705,353","2,585,221",20.25,1.58,8.16,10.51,Average
GPN,"$8,975,515,000","$8,523,762,000","$7,423,558,000","$4,911,892,000","170,535","161,951","141,048","93,326",19.03,1.25,10.98,6.8,Bad
GS,"$44,650,000,000","$58,982,000,000","$41,462,000,000","$35,481,000,000","1,473,450","1,946,406","1,368,246","1,170,873",26.16,1.25,12.67,12.24,Average
HAL,"$20,297,000,000","$15,295,000,000","$14,445,000,000","$22,408,000,000","142,079","107,065","101,115","156,856",23.8,8.89,8.59,6.32,Average
HIG,"$22,356,000,000","$22,349,000,000","$20,494,000,000","$20,736,000,000","693,036","692,819","635,314","642,816",16.17,1.5,5.99,8.67,Bad
HAS,"$5,856,700,000","$6,420,400,000","$5,465,400,000","$4,720,200,000","40,997","44,943","38,258","33,041",7.11,0.04,2.88,4.2,Bad
HCA,"$60,233,000,000","$58,752,000,000","$51,533,000,000","$51,336,000,000","5,420,970","5,287,680","4,637,970","4,620,240",28.24,3.5,17.34,7.4,Average
PEAK,"$2,061,178,000","$1,896,184,000","$1,644,875,000","$1,240,339,000","1,176,933","1,082,721","939,224","708,234",9.73,3.01,2.22,4.49,Bad
HSIC,"$12,647,000,000","$12,401,000,000","$10,119,000,000","$9,985,803,000","303,528","297,624","242,856","239,659",13.37,2.14,5.59,5.64,Bad
HSY,"$10,419,294,000","$8,971,337,000","$8,149,719,000","$7,986,252,000","343,837","296,054","268,941","263,546",27.43,11.3,10.89,5.24,Average
HES,"$11,069,000,000","$7,301,000,000","$4,543,000,000","$6,311,000,000","77,483","51,107","31,801","44,177",36.05,22.11,7.2,6.75,Great
HPE,"$28,496,000,000","$27,784,000,000","$26,982,000,000","$29,135,000,000","940,368","916,872","890,406","961,455",11.94,0.76,4.92,6.25,Bad
HLT,"$3,736,000,000","$2,444,000,000","$1,600,000,000","$3,766,000,000","724,784","474,136","310,400","730,604",17.44,7,6.77,3.67,Bad
HOLX,"$4,862,800,000","$5,632,300,000","$3,776,400,000","$3,367,300,000","437,652","506,907","339,876","303,057",28.24,4.79,13.27,10.18,Average
HD,"$157,403,000,000","$151,157,000,000","$132,110,000,000","$110,225,000,000","4,879,493","4,685,867","4,095,410","3,416,975",12.54,3.4,5.51,3.63,Bad
HON,"$35,466,000,000","$34,392,000,000","$32,637,000,000","$36,709,000,000","6,880,404","6,672,048","6,331,578","7,121,546",29.31,10.58,10.19,8.54,Average
HRL,"$12,458,806,000","$11,386,189,000","$9,608,462,000","$9,497,317,000","299,011","273,269","230,603","227,936",29.91,13.23,10.68,6,Average
HST,"$4,910,000,000","$2,921,000,000","$1,590,000,000","$5,483,000,000","952,540","566,674","308,460","1,063,702",13.94,3.25,5.64,5.05,Bad
HWM,"$5,663,000,000","$4,972,000,000","$5,259,000,000","$7,098,000,000","39,641","34,804","36,813","49,686",No fundamentals data found for any of the summaryTypes=esgScores,,,,
HPQ,"$62,983,000,000","$63,487,000,000","$56,639,000,000","$58,756,000,000","1,196,677","1,206,253","1,076,141","1,116,364",10.93,0.11,5,5.82,Bad
HUBB,"$4,947,900,000","$4,194,100,000","$3,682,500,000","$3,946,600,000","959,893","813,655","714,405","765,640",25.29,9.56,10.53,5.2,Average
HUM,"$92,870,000,000","$84,193,000,000","$77,155,000,000","$64,888,000,000","2,228,880","2,020,632","1,851,720","1,557,312",22.37,0.01,16.43,5.94,Average
HBAN,"$6,956,000,000","$5,958,000,000","$3,763,000,000","$4,376,000,000","1,349,464","1,155,852","730,022","848,944",20.38,1.96,10.79,7.63,Average
HII,"$10,676,000,000","$9,524,000,000","$9,361,000,000","$8,899,000,000","74,732","66,668","65,527","62,293",No fundamentals data found for any of the summaryTypes=esgScores,,,,
IBM,"$60,530,000,000","$57,351,000,000","$55,179,000,000","$57,714,000,000","11,742,820","11,126,094","10,704,726","11,196,516",14.77,0.47,6.67,7.64,Bad
IEX,"$3,181,900,000","$2,764,800,000","$2,351,600,000","$2,494,600,000","22,273","19,354","16,461","17,462",26.82,8.1,13,5.72,Average
IDXX,"$3,367,324,000","$3,215,360,000","$2,706,655,000","$2,406,908,000","23,571","22,508","18,947","16,848",19.45,3.3,7.1,9.05,Bad
ITW,"$15,932,000,000","$14,455,000,000","$12,574,000,000","$14,109,000,000","3,090,808","2,804,270","2,439,356","2,737,146",19.6,4.31,9.07,6.22,Bad
ILMN,"$4,584,000,000","$4,526,000,000","$3,239,000,000","$3,543,000,000","32,088","31,682","22,673","24,801",10.9,0.98,3.72,6.21,Bad
INCY,"$3,394,635,000","$2,986,267,000","$2,666,702,000","$2,158,759,000","81,471","71,670","64,001","51,810",24.12,1.45,15.55,7.11,Average
IR,"$5,916,300,000","$5,152,400,000","$3,973,200,000","$2,017,500,000","112,410","97,896","75,491","38,333",No fundamentals data found for any of the summaryTypes=esgScores,,,,
PODD,"$1,305,300,000","$1,098,800,000","$904,400,000","$738,200,000","1,198,265","1,008,698","830,239","677,668",No fundamentals data found for any of the summaryTypes=esgScores,,,,
INTC,"$63,054,000,000","$79,024,000,000","$77,867,000,000","$71,965,000,000","57,883,572","72,544,032","71,481,906","66,063,870",17.26,4.36,5.94,6.96,Bad
ICE,"$7,292,000,000","$7,146,000,000","$6,036,000,000","$5,202,000,000","65,628","64,314","54,324","46,818",16.34,1.68,7.98,6.68,Bad
IFF,"$12,440,000,000","$11,656,000,000","$5,084,000,000","$5,140,000,000","298,560","279,744","122,016","123,360",22.31,10.39,5.42,6.5,Average
IP,"$21,161,000,000","$19,363,000,000","$17,565,000,000","$18,317,000,000","148,127","135,541","122,955","128,219",23.71,14.26,4.5,4.95,Average
IPG,"$10,927,800,000","$10,240,700,000","$9,061,000,000","$8,625,100,000","207,628","194,573","172,159","163,877",10.43,0.04,5.11,5.28,Bad
INTU,"$14,368,000,000","$12,726,000,000","$9,633,000,000","$7,679,000,000","445,408","394,506","298,623","238,049",16.2,0.97,10.52,4.7,Bad
ISRG,"$6,222,200,000","$5,710,100,000","$4,358,400,000","$4,478,500,000","43,555","39,971","30,509","31,350",23.74,4.37,9.78,9.6,Average
IVZ,"$6,048,900,000","$6,894,500,000","$6,145,600,000","$6,117,400,000","187,516","213,730","190,514","189,639",20.33,0.7,9.87,9.76,Average
INVH,"$2,228,515,000","$1,995,069,000","$1,822,828,000","$1,764,685,000","432,332","387,043","353,629","342,349",No fundamentals data found for any of the summaryTypes=esgScores,,,,
IQV,"$14,410,000,000","$13,874,000,000","$11,359,000,000","$11,088,000,000","345,840","332,976","272,616","266,112",19.14,1.3,10.62,7.22,Bad
IRM,"$5,103,574,000","$4,491,531,000","$4,147,270,000","$4,262,584,000","990,093","871,357","804,570","826,941",14.74,5,3.74,6,Bad
JBHT,"$14,813,999,000","$12,168,302,000","$9,636,573,000","$9,165,258,000","103,698","85,178","67,456","64,157",13.86,3,6.01,4.86,Bad
JKHY,"$2,077,702,000","$1,942,884,000","$1,758,225,000","$1,697,067,000","403,074","376,919","341,096","329,231",15.45,0.78,9.45,5.22,Bad
J,"$14,922,825,000","$14,092,632,000","$13,566,975,000","$12,737,868,000","283,534","267,760","257,773","242,019",22.37,5.29,11.46,5.62,Average
JNJ,"$94,943,000,000","$93,775,000,000","$82,584,000,000","$82,059,000,000","2,278,632","2,250,600","1,982,016","1,969,416",25.08,0.74,15.79,8.55,Average
JCI,"$25,299,000,000","$23,668,000,000","$22,317,000,000","$23,968,000,000","177,093","165,676","156,219","167,776",Service invoked too many times for one day: urlfetch. https://www.webdatahub.com/optimize,,,,
JPM,"$122,306,000,000","$130,898,000,000","$102,471,000,000","$110,134,000,000","856,142","916,286","717,297","770,938",29.02,1.11,16.18,11.73,Average
JNPR,"$5,301,200,000","$4,735,400,000","$4,445,100,000","$4,445,400,000","477,108","426,186","400,059","400,086",16.59,1.66,8.52,6.41,Bad
K,"$15,315,000,000","$14,181,000,000","$13,770,000,000","$13,578,000,000","290,985","269,439","261,630","257,982",26.84,7.4,14.87,4.58,Average
KVUE,"$14,950,000,000","$15,054,000,000","$14,467,000,000","$14,324,000,000","358,800","361,296","347,208","343,776",No fundamentals data found for any of the summaryTypes=esgScores,,,,
KDP,"$14,057,000,000","$12,683,000,000","$11,618,000,000","$11,120,000,000","1,265,130","1,141,470","1,045,620","1,000,800",No fundamentals data found for any of the summaryTypes=esgScores,,,,
KEY,"$6,743,000,000","$7,683,000,000","$5,665,000,000","$6,062,000,000","209,033","238,173","175,615","187,922",23.14,1.89,11.08,10.17,Average
KEYS,"$5,420,000,000","$4,941,000,000","$4,221,000,000","$4,303,000,000","3,094,820","2,821,311","2,410,191","2,457,013",9.31,2.03,2.24,5.04,Bad
KMB,"$20,175,000,000","$19,440,000,000","$19,140,000,000","$18,450,000,000","484,200","466,560","459,360","442,800",22.05,8.05,7.77,6.23,Average
KIM,"$1,727,684,000","$1,364,585,000","$1,057,893,000","$1,158,884,000","155,492","122,813","95,210","104,300",12.14,3.7,2.91,5.53,Bad
KMI,"$19,200,000,000","$16,610,000,000","$11,700,000,000","$13,209,000,000","1,728,000","1,494,900","1,053,000","1,188,810",18.55,7.75,7.32,3.48,Bad
KLAC,,"$9,211,883,000","$6,918,734,000","$5,806,424,000",0,"1,787,105","1,342,234","1,126,446",16.79,7.13,4.76,4.91,Bad
KHC,"$26,485,000,000","$26,042,000,000","$26,185,000,000","$24,977,000,000","185,395","182,294","183,295","174,839",35.3,14.38,14.29,6.63,Great
KR,"$148,258,000,000",,,"$122,286,000,000","3,558,192",0,0,"2,934,864",21.39,6.51,9.43,5.46,Average
LHX,"$17,062,000,000","$17,814,000,000","$18,194,000,000","$18,526,000,000","1,535,580","1,603,260","1,637,460","1,667,340",No fundamentals data found for any of the summaryTypes=esgScores,,,,
LH,"$14,876,800,000","$16,120,900,000","$13,978,500,000","$11,554,800,000","490,934","531,990","461,291","381,308",18.81,0.13,11.55,7.13,Bad
LRCX,,"$17,227,039,000","$14,626,150,000","$10,044,736,000",0,"413,449","351,028","241,074",13.45,4.5,3.97,4.98,Bad
LW,,"$4,098,900,000","$3,670,900,000","$3,792,400,000",0,"135,264","121,140","125,149",No fundamentals data found for any of the summaryTypes=esgScores,,,,
LVS,"$4,110,000,000","$4,234,000,000","$2,940,000,000","$12,127,000,000","3,772,980","3,886,812","2,698,920","11,132,586",17.69,1.28,7.76,8.65,Bad
LDOS,"$14,396,000,000","$13,737,000,000","$12,297,000,000","$11,094,000,000","475,068","453,321","405,801","366,102",11.67,1.29,4.99,5.39,Bad
LEN,"$33,671,010,000","$27,130,676,000","$22,488,854,000","$22,259,561,000","1,111,143","895,312","742,132","734,566",23.11,8.89,8.77,5.47,Average
LIN,"$33,364,000,000","$30,793,000,000","$27,243,000,000","$28,228,000,000","6,472,616","5,973,842","5,285,142","5,476,232",No fundamentals data found for any of the summaryTypes=esgScores,,,,
LYV,"$16,681,254,000","$6,268,447,000","$1,861,178,000","$11,547,969,000","316,944","119,100","35,362","219,411",No fundamentals data found for any of the summaryTypes=esgScores,,,,
LKQ,"$12,794,000,000","$13,089,000,000","$11,629,000,000","$12,506,109,000","422,202","431,937","383,757","412,702",10.54,3.27,4,3.27,Bad
LMT,"$65,984,000,000","$67,044,000,000","$65,398,000,000","$59,812,000,000","2,177,472","2,212,452","2,158,134","1,973,796",28.36,5.27,15.9,7.2,Average
L,"$14,044,000,000","$14,657,000,000","$12,583,000,000","$14,931,000,000","12,892,392","13,455,126","11,551,194","13,706,658",16.48,0.59,4.25,11.63,Bad
LOW,"$97,059,000,000","$96,250,000,000","$89,597,000,000","$72,148,000,000","1,844,121","1,828,750","1,702,343","1,370,812",11.49,3.7,4.63,3.15,Bad
LULU,"$8,110,518,000","$6,256,617,000","$4,401,879,000","$3,979,296,000","4,631,106","3,572,528","2,513,473","2,272,178",16.94,1.58,9.86,5.5,Bad
LYB,"$50,451,000,000","$46,173,000,000","$27,753,000,000","$34,727,000,000","28,807,521","26,364,783","15,846,963","19,829,117",24.59,16.64,2.13,5.82,Average
MTB,"$7,661,559,000","$6,066,772,000","$5,154,761,000","$5,967,943,000","145,570","115,269","97,940","113,391",26.16,2.2,12.77,11.19,Average
MRO,"$7,575,000,000","$5,616,000,000","$3,122,000,000","$5,125,000,000","249,975","185,328","103,026","169,125",42.01,23.91,10.14,7.96,Leader
MPC,"$178,236,000,000","$120,451,000,000","$69,896,000,000","$111,275,000,000","3,386,484","2,288,569","1,328,024","2,114,225",28.7,15.91,7.01,5.79,Average
MKTX,"$718,300,000","$698,951,000","$689,125,000","$511,352,000","659,399","641,637","632,617","469,421",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MAR,"$5,356,000,000","$3,415,000,000","$2,119,000,000","$5,373,000,000","1,039,064","662,510","411,086","1,042,362",21.89,8.75,9.05,4.09,Average
MMC,"$20,720,000,000","$19,820,000,000","$17,224,000,000","$16,652,000,000","497,280","475,680","413,376","399,648",19.45,0.06,7.9,11.49,Bad
MLM,"$5,730,500,000","$5,084,700,000","$4,432,100,000","$4,422,300,000","51,575","45,762","39,889","39,801",31.82,18.55,4.53,8.74,Great
MAS,"$8,680,000,000","$8,375,000,000","$7,188,000,000","$6,707,000,000","781,200","753,750","646,920","603,630",22.44,9.44,5.8,7.21,Average
MA,"$22,237,000,000","$18,884,000,000","$15,301,000,000","$16,883,000,000","733,821","623,172","504,933","557,139",16.98,0.32,8.1,8.57,Bad
MTCH,"$3,188,843,000","$2,983,277,000","$2,391,269,000","$2,051,258,000","22,322","20,883","16,739","14,359",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MKC,"$6,350,500,000","$6,317,900,000","$5,601,300,000","$5,347,400,000","44,454","44,225","39,209","37,432",26.58,10.07,11.3,5.21,Average
MCD,"$23,182,600,000","$23,222,900,000","$19,207,800,000","$21,364,400,000","162,278","162,560","134,455","149,551",24.79,4.18,14.3,6.32,Average
MCK,"$276,711,000,000","$263,966,000,000","$238,228,000,000","$231,051,000,000","2,490,399","2,375,694","2,144,052","2,079,459",15.17,2.29,7.37,5.52,Bad
MDT,,"$31,686,000,000","$30,117,000,000","$28,913,000,000",0,"602,034","572,223","549,347",22.66,2.39,12.63,7.63,Average
MRK,"$59,283,000,000","$48,704,000,000","$41,518,000,000","$39,121,000,000","414,981","340,928","290,626","273,847",21.84,0.79,11.47,9.57,Average
META,"$116,609,000,000","$117,929,000,000","$85,965,000,000","$70,697,000,000","3,848,097","3,891,657","2,836,845","2,333,001",32.54,1.02,21.01,10.51,Great
MET,"$69,898,000,000","$71,080,000,000","$67,842,000,000","$69,620,000,000","1,677,552","1,705,920","1,628,208","1,670,880",14.95,0.73,4.82,9.41,Bad
MTD,"$3,919,709,000","$3,717,930,000","$3,085,177,000","$3,008,652,000","94,073","89,230","74,044","72,208",13.32,1,7.41,4.91,Bad
MGM,"$13,081,792,000","$9,454,057,000","$4,917,133,000","$12,462,785,000","313,963","226,897","118,011","299,107",25.49,2,12.97,10.53,Average
MCHP,,"$6,820,900,000","$5,438,400,000","$5,274,200,000",0,"211,448","168,590","163,500",30.98,14.83,8.75,7.4,Great
MU,"$15,540,000,000","$30,758,000,000","$27,705,000,000","$21,435,000,000","108,780","215,306","193,935","150,045",17.44,6.6,5.07,5.77,Bad
MSFT,,"$198,270,000,000","$168,088,000,000","$143,015,000,000",0,"6,542,910","5,546,904","4,719,495",15.24,1.53,8.39,5.33,Bad
MAA,"$2,019,866,000","$1,778,082,000","$1,677,984,000","$1,641,017,000","14,139","12,447","11,746","11,487",14.64,5.5,3.74,5.4,Bad
MRNA,"$19,263,000,000","$18,471,000,000","$803,000,000","$60,000,000","1,733,670","1,662,390","72,270","5,400",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MHK,"$11,737,065,000","$11,200,613,000","$9,552,197,000","$9,970,672,000","1,056,336","1,008,055","859,698","897,360",14.17,5.61,4.19,4.36,Bad
MOH,"$31,101,000,000","$26,984,000,000","$18,375,000,000","$16,340,000,000","746,424","647,616","441,000","392,160",No fundamentals data found for any of the summaryTypes=esgScores,,,,
TAP,"$10,701,000,000","$10,279,700,000","$9,654,000,000","$10,579,400,000","963,090","925,173","868,860","952,146",21.21,6.96,8.67,5.57,Average
MDLZ,"$31,496,000,000","$28,720,000,000","$26,581,000,000","$25,868,000,000","598,424","545,680","505,039","491,492",23.78,9.46,9.08,5.18,Average
MPWR,"$1,794,148,000","$1,207,798,000","$844,452,000","$627,921,000","34,089","22,948","16,045","11,930",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MNST,"$6,311,050,000","$5,541,352,000","$4,598,638,000","$4,200,819,000","5,793,544","5,086,961","4,221,550","3,856,352",28.03,12.43,10.58,5.03,Average
MCO,"$5,468,000,000","$6,218,000,000","$5,371,000,000","$4,829,000,000","131,232","149,232","128,904","115,896",10.5,0.02,5.23,5.25,Bad
MS,"$53,388,000,000","$59,751,000,000","$47,996,000,000","$41,377,000,000","1,014,372","1,135,269","911,924","786,163",22.22,0.72,11.76,9.73,Average
MOS,"$19,125,200,000","$12,357,400,000","$8,681,700,000","$8,906,300,000","363,379","234,791","164,952","169,220",34.06,14.35,11.05,8.66,Great
MSI,"$9,112,000,000","$8,171,000,000","$7,414,000,000","$7,887,000,000","218,688","196,104","177,936","189,288",14.31,2.21,6.7,5.39,Bad
MSCI,"$2,248,598,000","$2,043,544,000","$1,695,390,000","$1,557,796,000","20,237","18,392","15,259","14,020",16.01,1.65,6.77,7.59,Bad
NDAQ,"$6,226,000,000","$5,886,000,000","$5,625,000,000","$4,258,000,000","5,715,468","5,403,348","5,163,750","3,908,844",11.65,1.81,4.56,5.28,Bad
NTAP,#ERROR!,,,,#ERROR!,0,0,0,15.49,2.58,6.93,5.98,Bad
NFLX,"$31,615,550,000","$29,697,844,000","$24,996,056,000","$20,156,447,000","284,540","267,281","224,965","181,408",16.25,0.09,6.83,9.34,Bad
NEM,"$11,915,000,000","$12,222,000,000","$11,497,000,000","$9,740,000,000","31,384,110","32,192,748","30,283,098","25,655,160",20.33,6.92,8.24,5.16,Average
NWSA,"$9,879,000,000","$10,385,000,000","$9,358,000,000","$9,008,000,000","326,007","342,705","308,814","297,264",11.61,0.02,4.58,7.02,Bad
NWS,"$9,879,000,000","$10,385,000,000","$9,358,000,000","$9,008,000,000","26,021,286","27,354,090","24,648,972","23,727,072",No fundamentals data found for any of the summaryTypes=esgScores,,,,
NEE,"$20,956,000,000","$17,069,000,000","$17,997,000,000","$19,204,000,000","4,065,464","3,311,386","3,491,418","3,725,576",27.53,14.05,7.64,5.83,Average
NKE,,"$46,710,000,000","$44,538,000,000","$37,403,000,000",0,"9,061,740","8,640,372","7,256,182",16.95,3.04,6.99,6.92,Bad
NI,"$5,850,600,000","$4,899,600,000","$4,681,700,000","$5,208,900,000","111,161","93,092","88,952","98,969",29.51,14.08,10.25,5.18,Average
NDSN,"$2,590,278,000","$2,362,209,000","$2,121,100,000","$2,194,226,000","502,514","458,269","411,493","425,680",26.66,9.26,11.8,5.59,Average
NSC,"$12,745,000,000","$11,142,000,000","$9,789,000,000","$11,296,000,000","420,585","367,686","323,037","372,768",22.73,8.05,11.36,3.32,Average
NTRS,"$6,749,200,000","$6,546,000,000","$5,975,800,000","$6,087,600,000","17,777,393","17,242,164","15,740,257","16,034,738",23.86,1.87,11.83,10.17,Average
